0.80690789 0.80176783 0.83882503 0.91926663 1.02522899 1.12801422 1.20349462 1.23981993 1.23375443 1.18735349 1.11197367 1.03248645 0.98130735 0.98482136 1.05206203 1.16804727 1.29467358 1.38715169 1.41607889 1.37223234 1.25874776 1.09137936 0.90399263 0.73943967 0.62954972 0.58769181 0.61557345 0.70836069 0.84960852 1.00241607 1.11511628 1.14795918 1.09558940 0.98507627 0.85819388 0.75273426 0.69353831 0.69443115 0.76195573 0.89156655 1.05673221 1.20757623 1.29381115 1.29124579 1.20718028 1.07310679 0.93163515 0.81758427 0.74616112 0.71538297 0.71419025 0.72866884 0.74617978 0.75924552 0.76873934 0.78399636 0.81880958 0.88472148 0.98357371 1.10231058 1.21532071 1.29487040 1.31985716 1.27775791 1.16933765 1.01954690 0.87513450 0.78016760 0.75807893 0.81362027 0.93587796 1.09255990 1.23050981 1.29731252 1.26543392 1.13927908 0.95517460 0.77078729 0.63702885 0.58067498 0.61251116 0.73794138 0.94820045 1.19741983 1.40961031 1.53246220 1.55947963 1.49822396 1.35352278 1.14894942 0.94038431 0.78426116 0.70461888 0.69577950 0.73662805 0.79844500 0.85174719 0.87617885 0.86742564 0.83698005
0.91377885 0.84336864 0.80894237 0.82207772 0.87656681 0.95371888 1.03102935 1.08898380 1.11391755 1.10017069 1.05422686 0.99720209 0.95935009 0.96767418 1.03409392 1.14768937 1.27465343 1.37330593 1.41540074 1.39121637 1.30052475 1.15087686 0.96650570 0.78786076 0.65334636 0.58473100 0.58971468 0.66915360 0.81425386 0.99366794 1.15115187 1.23404128 1.22604082 1.14737993 1.03501899 0.92568454 0.84735151 0.81804986 0.84717673 0.93315329 1.05663506 1.17916354 1.25841957 1.27020586 1.21749740 1.12531834 1.02776605 0.95221750 0.90999911 0.89749361 0.90231811 0.90952607 0.90723690 0.89212456 0.87270841 0.86707023 0.89521334 0.96997184 1.08893609 1.23034164 1.35990251 1.44664932 1.47031137 1.41616621 1.27835681 1.08124799 0.88476936 0.74815288 0.70028608 0.74575197 0.87442849 1.05460889 1.22777856 1.33150462 1.33043822 1.22217257 1.03571419 0.82946723 0.66551650 0.58085840 0.58929799 0.69598999 0.89403439 1.14165816 1.36235439 1.49684311 1.53342806 1.47939633 1.34111311 1.14348765 0.94393773 0.80136139 0.74295495 0.76529573 0.84544030 0.94681870 1.02982800 1.06748375 1.05229329 0.99354513
1.04157575 0.90439259 0.79872048 0.74812468 0.75459777 0.80556541 0.88080168 0.95628456 1.00848965 1.02153500 0.99483867 0.94603368 0.90499067 0.90090332 0.95014764 1.04903023 1.17252586 1.28405789 1.35352053 1.36610816 1.31665478 1.20522851 1.04438228 0.86651401 0.71386781 0.61928308 0.59978575 0.66235621 0.80428742 0.99964888 1.19028870 1.31353698 1.34473566 1.29994359 1.21096860 1.10825792 1.01639000 0.95443427 0.93568141 0.96435342 1.03058167 1.10945559 1.17038426 1.19294029 1.17656568 1.13818339 1.10118065 1.08286284 1.08759620 1.10772859 1.12872633 1.13473632 1.11417777 1.06644273 1.00687770 0.96332500 0.96387155 1.02440592 1.14069136 1.28603504 1.42104710 1.51250241 1.53976638 1.48494018 1.33476575 1.11017442 0.87992844 0.71508184 0.64832914 0.68367390 0.81254557 1.00681244 1.20730230 1.34485137 1.37807389 1.29899490 1.12610316 0.91003071 0.71927621 0.60329354 0.58152303 0.65835383 0.82730404 1.05353321 1.26779235 1.40683787 1.44909064 1.39844073 1.26640712 1.08485753 0.91201532 0.80320480 0.78477998 0.85441713 0.98512194 1.12881917 1.23631101 1.28054740 1.25655243 1.17069952
1.15636647 0.96616314 0.80177798 0.70089854 0.67211747 0.70568187 0.78255453 0.87558037 0.95215273 0.98512045 0.96594210 0.90978925 0.84867762 0.81620920 0.83407482 0.90633330 1.01877823 1.14306197 1.24771961 1.30926774 1.31408391 1.25491999 1.13354528 0.97058404 0.80673576 0.68573683 0.63727819 0.67597578 0.80406428 1.00074715 1.20946606 1.36152479 1.42496246 1.41235131 1.35143860 1.26480857 1.16849831 1.07772339 1.00888496 0.97451166 0.97618205 1.00264746 1.03594035 1.06209947 1.07893412 1.09539914 1.12364035 1.16957092 1.22825329 1.28627257 1.32742679 1.33659884 1.30249076 1.22443991 1.12157253 1.03103935 0.99046601 1.02063996 1.11862022 1.25757680 1.39597319 1.49604507 1.53228458 1.48280206 1.33094619 1.09696822 0.85399129 0.67776588 0.60175832 0.62956085 0.75485534 0.95481078 1.17353675 1.33879818 1.40484333 1.36008818 1.21304402 1.00061428 0.79025534 0.64359483 0.58903921 0.63141165 0.76319281 0.95532890 1.14896358 1.28185400 1.32327624 1.27252105 1.14715373 0.98702639 0.84921996 0.78237603 0.81031692 0.93066488 1.10970686 1.28583269 1.40470198 1.44806189 1.41878432 1.31887021
1.23167804 1.00948020 0.80684166 0.67493652 0.62821540 0.65862467 0.74757023 0.86428958 0.96615647 1.01399952 0.99190453 0.91453526 0.81908660 0.74635861 0.72380161 0.76118911 0.85341036 0.98242872 1.11989076 1.23433165 1.29989196 1.29990660 1.22718554 1.09031207 0.92280846 0.77548829 0.69245333 0.69819429 0.79965653 0.98139117 1.19299183 1.36493633 1.45707604 1.47500493 1.44197668 1.37433130 1.27952497 1.16662009 1.05352016 0.96156990 0.90392816 0.88074654 0.88394737 0.90566022 0.94402153 1.00290221 1.08591267 1.18882282 1.29674720 1.38952585 1.44964932 1.46393692 1.42150073 1.31961833 1.17829786 1.04240104 0.95872580 0.95300498 1.02513974 1.15206230 1.29370438 1.40695646 1.45749360 1.41844515 1.27420608 1.04800037 0.81257577 0.64074108 0.56437575 0.58772391 0.70745139 0.90652056 1.13477690 1.32029584 1.41432337 1.40298848 1.28755903 1.09001063 0.86986602 0.69748536 0.61249285 0.62253566 0.71863527 0.87441168 1.03947210 1.15592432 1.18871350 1.13430507 1.01518271 0.87616539 0.77074112 0.74053262 0.80706386 0.96780981 1.18257248 1.37830140 1.49962793 1.53978892 1.51014330 1.40873901
1.25945138 1.02312946 0.80390209 0.66151159 0.61463065 0.65737838 0.77173652 0.92161538 1.05187187 1.11138823 1.07930620 0.97158466 0.83229424 0.71204627 0.64511995 0.64459629 0.71026962 0.83308718 0.99230372 1.15378340 1.27878565 1.33782638 1.31544115 1.21070427 1.04693094 0.87582713 0.75457051 0.71944853 0.78263543 0.93415686 1.13379139 1.31766323 1.43766348 1.48667782 1.47996030 1.42915446 1.33696633 1.20884059 1.06413766 0.93121503 0.83170958 0.77269686 0.75129943 0.76309031 0.80728474 0.88645337 1.00104735 1.14172747 1.28644525 1.40804821 1.48554727 1.50563237 1.45727421 1.33655852 1.16504152 0.99397203 0.87607487 0.83889211 0.88392987 0.99353602 1.13354956 1.25948603 1.32858022 1.30816656 1.18456841 0.98334252 0.77162286 0.61480183 0.54333720 0.56393458 0.67680886 0.87022692 1.10059355 1.29883235 1.41427067 1.43097793 1.34579449 1.16874933 0.94847095 0.75905703 0.65096495 0.63677259 0.70671046 0.83427579 0.97309961 1.06941998 1.08820377 1.02590918 0.90840510 0.78226300 0.69661782 0.68732960 0.77427033 0.95608396 1.19098737 1.40016645 1.52633277 1.56782146 1.54063211 1.44126952
1.24350897 1.00488424 0.78753493 0.65262686 0.62057017 0.68855334 0.83924688 1.02857545 1.18678798 1.25430419 1.21036462 1.07222996 0.88814395 0.71879064 0.60729697 0.56955008 0.60658346 0.71460124 0.88152950 1.07673705 1.25237586 1.36418473 1.38748041 1.31499906 1.16060052 0.97142706 0.81324465 0.73419952 0.75214973 0.86169850 1.03388143 1.21657204 1.35861350 1.43748281 1.45552815 1.41923828 1.33097545 1.19780129 1.04166015 0.89373242 0.77786066 0.70266745 0.66666240 0.66672710 0.70307173 0.77913045 0.89664019 1.04762539 1.20935784 1.35023648 1.44289336 1.46924337 1.41656829 1.28248868 1.09311442 0.90416756 0.76865152 0.71151130 0.73382410 0.82302698 0.95376805 1.08667020 1.17588516 1.18351574 1.09461884 0.93185314 0.75243846 0.61393895 0.54757826 0.56441402 0.66842977 0.85212357 1.07809828 1.28169708 1.41117353 1.44786923 1.38588353 1.22829641 1.01480798 0.81930649 0.69987057 0.67435109 0.73308534 0.84761715 0.97105008 1.05122832 1.05493017 0.98032940 0.85560917 0.72812715 0.64427519 0.63594465 0.72135092 0.90161436 1.14047790 1.36122610 1.50107697 1.55220107 1.52888658 1.42866581
1.19044811 0.95905204 0.75776889 0.64301909 0.63502890 0.73455153 0.92421424 1.14953246 1.32740996 1.39772886 1.34624800 1.18955731 0.97234155 0.76075324 0.60834613 0.53601689 0.54504412 0.63340393 0.79557679 1.00787577 1.21961366 1.37343067 1.43403712 1.38958049 1.24761619 1.04857438 0.86104031 0.74225970 0.71528342 0.77745172 0.90831897 1.06963661 1.21548421 1.31318340 1.35115441 1.32955942 1.25280490 1.13287131 0.99334982 0.86209636 0.75813568 0.68719096 0.64724286 0.63598876 0.65493229 0.70923194 0.80366847 0.93549830 1.08781261 1.23060011 1.33123313 1.36390582 1.31241219 1.17725565 0.98928931 0.80398092 0.66908885 0.60504124 0.61249146 0.68339743 0.80134174 0.93600806 1.04457733 1.08606620 1.04045695 0.92189501 0.77538966 0.65204478 0.58619455 0.59480025 0.68567754 0.85439177 1.06890156 1.26988468 1.40521136 1.45236693 1.40320321 1.25901223 1.05587690 0.86584865 0.74973770 0.72885231 0.79392460 0.91321654 1.03557557 1.10791626 1.09932660 1.00994810 0.86894149 0.72487202 0.62462659 0.59851262 0.66262337 0.82007565 1.04481519 1.27073531 1.42976675 1.49812460 1.48090254 1.37778725
1.10978789 0.89602557 0.72029080 0.63135734 0.64882298 0.77679219 0.99689014 1.24477948 1.42976954 1.49899040 1.44837536 1.29228154 1.06418958 0.82671503 0.64202082 0.53933063 0.52208490 0.58845259 0.73626648 0.94877468 1.17833540 1.36004252 1.44813746 1.42600248 1.29800381 1.09900812 0.89554500 0.74875099 0.68504550 0.70286166 0.78601785 0.90703914 1.03044813 1.12415414 1.16979624 1.16324282 1.11082891 1.02765704 0.93470786 0.85092197 0.78558116 0.73816455 0.70447095 0.68292086 0.67734632 0.69603529 0.74788015 0.83637642 0.95320948 1.07565689 1.17171113 1.21025450 1.17081105 1.05395143 0.88959792 0.72656349 0.60512600 0.54307760 0.54284045 0.60100433 0.70865191 0.84445716 0.97135802 1.04745065 1.04629109 0.97097804 0.85353147 0.73901799 0.66589696 0.65831785 0.72839653 0.87407339 1.06791378 1.25651970 1.38809426 1.43533172 1.38787908 1.24965751 1.05883494 0.88516783 0.78710325 0.78649597 0.87412243 1.01383173 1.14772755 1.22099425 1.20620822 1.10491456 0.94423347 0.77300655 0.64203268 0.58370442 0.61240123 0.73117572 0.92362406 1.13970219 1.31265933 1.40067997 1.39361593 1.29197065
1.01970008 0.83289107 0.68603799 0.62097525 0.65728419 0.80170453 1.03532854 1.28934509 1.47296990 1.54216892 1.50120696 1.36271896 1.14735695 0.90585066 0.70242154 0.57568850 0.53446573 0.57760134 0.70368179 0.90069095 1.12766347 1.31992768 1.42459077 1.41961471 1.30780260 1.12070924 0.91936502 0.76240544 0.67662001 0.66079310 0.70033688 0.77393079 0.85606487 0.92287775 0.95958448 0.96366524 0.94317088 0.91253800 0.88640741 0.87244128 0.86753521 0.86125163 0.84408518 0.81401664 0.77807505 0.74997343 0.74522990 0.77478439 0.83899783 0.92433529 1.00486825 1.04966441 1.03449265 0.95438980 0.83023863 0.69958353 0.59622405 0.53880823 0.53423786 0.58428456 0.68592039 0.82455050 0.96821702 1.07521666 1.11394315 1.07748545 0.98508685 0.87409140 0.78569552 0.75202128 0.79083724 0.90277141 1.06460864 1.22915689 1.34590355 1.38295390 1.32839905 1.19184796 1.01645486 0.86813067 0.79882998 0.82872357 0.94849114 1.11728119 1.26985465 1.35080144 1.33833394 1.23511258 1.06187471 0.86322964 0.69489387 0.59600382 0.58191214 0.65421553 0.80202811 0.99071104 1.16283644 1.26586499 1.27370728 1.18417019
